2019-05-20 19:41:44:160 620 sec: 803 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=855039, Min=723456, Avg=774872.62, 90=852991, 99=855039, 99.9=855039, 99.99=855039] 
2019-05-20 19:41:54:161 630 sec: 816 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=883199, Min=685056, Avg=765026.46, 90=833023, 99=883199, 99.9=883199, 99.99=883199] 
2019-05-20 19:42:04:161 640 sec: 829 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=831999, Min=715776, Avg=763411.69, 90=824319, 99=831999, 99.9=831999, 99.99=831999] 
2019-05-20 19:42:14:159 650 sec: 842 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=828927, Min=728064, Avg=771446.15, 90=820735, 99=828927, 99.9=828927, 99.99=828927] 
2019-05-20 19:42:24:159 660 sec: 855 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=871423, Min=722944, Avg=769634.46, 90=824319, 99=871423, 99.9=871423, 99.99=871423] 
2019-05-20 19:42:34:160 670 sec: 868 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=894975, Min=695808, Avg=766798.77, 90=834047, 99=894975, 99.9=894975, 99.99=894975] 
2019-05-20 19:42:44:161 680 sec: 881 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=843775, Min=717312, Avg=769555.69, 90=839167, 99=843775, 99.9=843775, 99.99=843775] 
2019-05-20 19:42:54:160 690 sec: 894 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=850943, Min=680448, Avg=760497.23, 90=824319, 99=850943, 99.9=850943, 99.99=850943] 
2019-05-20 19:43:04:161 700 sec: 907 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=829951, Min=720896, Avg=763923.69, 90=824319, 99=829951, 99.9=829951, 99.99=829951] 
2019-05-20 19:43:14:161 710 sec: 920 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=841215, Min=726016, Avg=771367.38, 90=828927, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-20 19:43:24:160 720 sec: 933 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=855039, Min=711680, Avg=769043.69, 90=835071, 99=855039, 99.9=855039, 99.99=855039] 
2019-05-20 19:43:34:159 730 sec: 946 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=834559, Min=727040, Avg=766089.85, 90=828927, 99=834559, 99.9=834559, 99.99=834559] 
2019-05-20 19:43:44:160 740 sec: 959 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=843775, Min=683520, Avg=766247.38, 90=837119, 99=843775, 99.9=843775, 99.99=843775] 
2019-05-20 19:43:54:165 750 sec: 972 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=918015, Min=714240, Avg=782592, 90=867327, 99=918015, 99.9=918015, 99.99=918015] 
2019-05-20 19:44:04:161 760 sec: 985 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=847359, Min=693248, Avg=761481.85, 90=837631, 99=847359, 99.9=847359, 99.99=847359] 
2019-05-20 19:44:14:161 770 sec: 998 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=860159, Min=713728, Avg=775975.38, 90=841215, 99=860159, 99.9=860159, 99.99=860159] 
2019-05-20 19:44:24:159 780 sec: 1011 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=868351, Min=716288, Avg=777550.77, 90=840191, 99=868351, 99.9=868351, 99.99=868351] 
2019-05-20 19:44:34:161 790 sec: 1023 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=863743, Min=700416, Avg=776234.67, 90=838143, 99=863743, 99.9=863743, 99.99=863743] 
2019-05-20 19:44:44:160 800 sec: 1037 operations; 1.4 current ops/sec; est completion in 12 minutes [READ: Count=14, Max=838143, Min=704000, Avg=772790.86, 90=837631, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-20 19:44:54:159 810 sec: 1050 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=872959, Min=665088, Avg=759158.15, 90=856575, 99=872959, 99.9=872959, 99.99=872959] 
2019-05-20 19:45:04:160 820 sec: 1063 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=838655, Min=702976, Avg=772273.23, 90=837631, 99=838655, 99.9=838655, 99.99=838655] 
2019-05-20 19:45:14:160 830 sec: 1076 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=861183, Min=693248, Avg=767428.92, 90=846335, 99=861183, 99.9=861183, 99.99=861183] 
2019-05-20 19:45:24:159 840 sec: 1089 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=850431, Min=709632, Avg=763372.31, 90=837119, 99=850431, 99.9=850431, 99.99=850431] 
2019-05-20 19:45:34:161 850 sec: 1102 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=847359, Min=714240, Avg=762269.54, 90=827391, 99=847359, 99.9=847359, 99.99=847359] 
2019-05-20 19:45:44:161 860 sec: 1115 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=823807, Min=729088, Avg=777472, 90=820735, 99=823807, 99.9=823807, 99.99=823807] 
2019-05-20 19:45:54:159 870 sec: 1128 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=858111, Min=702976, Avg=773454.77, 90=836607, 99=858111, 99.9=858111, 99.99=858111] 
2019-05-20 19:46:04:160 880 sec: 1141 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=841727, Min=716800, Avg=769988.92, 90=826367, 99=841727, 99.9=841727, 99.99=841727] 
2019-05-20 19:46:14:161 890 sec: 1154 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=833535, Min=691200, Avg=759158.15, 90=826879, 99=833535, 99.9=833535, 99.99=833535] 
2019-05-20 19:46:24:160 900 sec: 1167 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=900095, Min=711168, Avg=774833.23, 90=848383, 99=900095, 99.9=900095, 99.99=900095] 
2019-05-20 19:46:34:159 910 sec: 1180 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=843263, Min=706560, Avg=776960, 90=828927, 99=843263, 99.9=843263, 99.99=843263] 
2019-05-20 19:46:44:160 920 sec: 1193 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=832511, Min=696832, Avg=765853.54, 90=827903, 99=832511, 99.9=832511, 99.99=832511] 
2019-05-20 19:46:54:159 930 sec: 1206 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=831999, Min=709632, Avg=752541.54, 90=831487, 99=831999, 99.9=831999, 99.99=831999] 
2019-05-20 19:47:04:160 940 sec: 1219 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=890367, Min=698880, Avg=781174.15, 90=842239, 99=890367, 99.9=890367, 99.99=890367] 
