2019-05-20 15:30:23:904 360 sec: 466 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=858111, Min=723968, Avg=770107.08, 90=826879, 99=858111, 99.9=858111, 99.99=858111] 
2019-05-20 15:30:33:904 370 sec: 479 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=845823, Min=716800, Avg=772194.46, 90=834047, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-20 15:30:43:904 380 sec: 492 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=825343, Min=696320, Avg=766916.92, 90=818687, 99=825343, 99.9=825343, 99.99=825343] 
2019-05-20 15:30:53:906 390 sec: 505 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=858623, Min=726016, Avg=763293.54, 90=802815, 99=858623, 99.9=858623, 99.99=858623] 
2019-05-20 15:31:03:904 400 sec: 518 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=839679, Min=705024, Avg=767310.77, 90=834559, 99=839679, 99.9=839679, 99.99=839679] 
2019-05-20 15:31:13:904 410 sec: 531 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=819199, Min=732672, Avg=767232, 90=807423, 99=819199, 99.9=819199, 99.99=819199] 
2019-05-20 15:31:23:904 420 sec: 544 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=886783, Min=713216, Avg=777708.31, 90=845311, 99=886783, 99.9=886783, 99.99=886783] 
2019-05-20 15:31:33:905 430 sec: 557 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=830463, Min=720384, Avg=766562.46, 90=829439, 99=830463, 99.9=830463, 99.99=830463] 
2019-05-20 15:31:43:904 440 sec: 570 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=821247, Min=706048, Avg=765065.85, 90=817663, 99=821247, 99.9=821247, 99.99=821247] 
2019-05-20 15:31:53:906 450 sec: 583 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=845311, Min=703488, Avg=762190.77, 90=844799, 99=845311, 99.9=845311, 99.99=845311] 
2019-05-20 15:32:03:904 460 sec: 596 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=870911, Min=717312, Avg=777984, 90=829951, 99=870911, 99.9=870911, 99.99=870911] 
2019-05-20 15:32:13:904 470 sec: 609 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=827903, Min=701952, Avg=760812.31, 90=822271, 99=827903, 99.9=827903, 99.99=827903] 
2019-05-20 15:32:23:904 480 sec: 622 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=824319, Min=713728, Avg=768571.08, 90=819711, 99=824319, 99.9=824319, 99.99=824319] 
2019-05-20 15:32:33:905 490 sec: 635 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=836607, Min=713728, Avg=772470.15, 90=828927, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-20 15:32:43:904 500 sec: 648 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=847871, Min=722944, Avg=775030.15, 90=836095, 99=847871, 99.9=847871, 99.99=847871] 
2019-05-20 15:32:53:904 510 sec: 661 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=834047, Min=713728, Avg=772824.62, 90=805375, 99=834047, 99.9=834047, 99.99=834047] 
2019-05-20 15:33:03:904 520 sec: 674 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=844287, Min=733696, Avg=773809.23, 90=842239, 99=844287, 99.9=844287, 99.99=844287] 
2019-05-20 15:33:13:904 530 sec: 687 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=815103, Min=681984, Avg=760615.38, 90=801791, 99=815103, 99.9=815103, 99.99=815103] 
2019-05-20 15:33:23:904 540 sec: 700 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=845311, Min=698368, Avg=775699.69, 90=837119, 99=845311, 99.9=845311, 99.99=845311] 
2019-05-20 15:33:33:905 550 sec: 713 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=845311, Min=729088, Avg=768571.08, 90=829951, 99=845311, 99.9=845311, 99.99=845311] 
2019-05-20 15:33:43:904 560 sec: 726 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=841727, Min=713216, Avg=769476.92, 90=839679, 99=841727, 99.9=841727, 99.99=841727] 
2019-05-20 15:33:53:904 570 sec: 739 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=860159, Min=691712, Avg=769083.08, 90=811519, 99=860159, 99.9=860159, 99.99=860159] 
2019-05-20 15:34:03:904 580 sec: 752 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=852991, Min=711168, Avg=773533.54, 90=837631, 99=852991, 99.9=852991, 99.99=852991] 
2019-05-20 15:34:13:904 590 sec: 765 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=848895, Min=718848, Avg=768059.08, 90=836095, 99=848895, 99.9=848895, 99.99=848895] 
2019-05-20 15:34:23:904 600 sec: 778 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=816639, Min=730112, Avg=763372.31, 90=794623, 99=816639, 99.9=816639, 99.99=816639] 
2019-05-20 15:34:33:904 610 sec: 791 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=850431, Min=713216, Avg=765538.46, 90=826367, 99=850431, 99.9=850431, 99.99=850431] 
2019-05-20 15:34:43:904 620 sec: 804 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=870399, Min=712192, Avg=769358.77, 90=831999, 99=870399, 99.9=870399, 99.99=870399] 
2019-05-20 15:34:53:904 630 sec: 817 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=848383, Min=689664, Avg=764947.69, 90=827903, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-20 15:35:03:904 640 sec: 830 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=862207, Min=672256, Avg=760024.62, 90=828927, 99=862207, 99.9=862207, 99.99=862207] 
2019-05-20 15:35:13:904 650 sec: 843 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=842751, Min=713728, Avg=768886.15, 90=841727, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-20 15:35:23:904 660 sec: 856 operations; 1.3 current ops/sec; est completion in 1 minute [READ: Count=13, Max=842239, Min=712704, Avg=769476.92, 90=838655, 99=842239, 99.9=842239, 99.99=842239] 
2019-05-20 15:35:33:904 670 sec: 869 operations; 1.3 current ops/sec; est completion in 1 minute [READ: Count=13, Max=826367, Min=711680, Avg=760300.31, 90=820223, 99=826367, 99.9=826367, 99.99=826367] 
2019-05-20 15:35:43:904 680 sec: 882 operations; 1.3 current ops/sec; est completion in 1 minute [READ: Count=13, Max=857087, Min=708096, Avg=770028.31, 90=845311, 99=857087, 99.9=857087, 99.99=857087] 
2019-05-20 15:35:53:904 690 sec: 895 operations; 1.3 current ops/sec; est completion in 1 minute [READ: Count=13, Max=859135, Min=724480, Avg=768689.23, 90=829439, 99=859135, 99.9=859135, 99.99=859135] 
2019-05-20 15:36:03:904 700 sec: 908 operations; 1.3 current ops/sec; est completion in 1 minute [READ: Count=13, Max=879103, Min=714240, Avg=778535.38, 90=852479, 99=879103, 99.9=879103, 99.99=879103] 
2019-05-20 15:36:13:904 710 sec: 921 operations; 1.3 current ops/sec; est completion in 1 minute [READ: Count=13, Max=828415, Min=698368, Avg=763057.23, 90=825343, 99=828415, 99.9=828415, 99.99=828415] 
2019-05-20 15:36:23:904 720 sec: 934 operations; 1.3 current ops/sec; est completion in 51 seconds [READ: Count=13, Max=849919, Min=706048, Avg=770382.77, 90=831999, 99=849919, 99.9=849919, 99.99=849919] 
2019-05-20 15:36:33:905 730 sec: 947 operations; 1.3 current ops/sec; est completion in 41 seconds [READ: Count=13, Max=840191, Min=687104, Avg=769910.15, 90=818687, 99=840191, 99.9=840191, 99.99=840191] 
2019-05-20 15:36:43:904 740 sec: 960 operations; 1.3 current ops/sec; est completion in 31 seconds [READ: Count=13, Max=855551, Min=724480, Avg=777078.15, 90=847871, 99=855551, 99.9=855551, 99.99=855551] 
2019-05-20 15:36:53:904 750 sec: 973 operations; 1.3 current ops/sec; est completion in 21 seconds [READ: Count=13, Max=850943, Min=728576, Avg=769634.46, 90=836095, 99=850943, 99.9=850943, 99.99=850943] 
2019-05-20 15:37:03:905 760 sec: 986 operations; 1.3 current ops/sec; est completion in 11 seconds [READ: Count=13, Max=828415, Min=716288, Avg=766877.54, 90=809983, 99=828415, 99.9=828415, 99.99=828415] 
2019-05-20 15:37:13:904 770 sec: 999 operations; 1.3 current ops/sec; est completion in 1 second [READ: Count=13, Max=815615, Min=718848, Avg=760576, 90=788991, 99=815615, 99.9=815615, 99.99=815615] 
2019-05-20 15:37:14:173 770 sec: 1000 operations; 3.95 current ops/sec; [READ: Count=1, Max=831999, Min=831488, Avg=831744, 90=831999, 99=831999, 99.9=831999, 99.99=831999] [CLEANUP: Count=1, Max=21, Min=21, Avg=21, 90=21, 99=21, 99.9=21, 99.99=21] 
