2019-05-22 05:06:12:981 890 sec: 1160 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=860159, Min=713216, Avg=769358.77, 90=843263, 99=860159, 99.9=860159, 99.99=860159] 
2019-05-22 05:06:22:982 900 sec: 1173 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=831999, Min=707584, Avg=760654.77, 90=823295, 99=831999, 99.9=831999, 99.99=831999] 
2019-05-22 05:06:32:982 910 sec: 1186 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=854015, Min=681472, Avg=765223.38, 90=833023, 99=854015, 99.9=854015, 99.99=854015] 
2019-05-22 05:06:42:982 920 sec: 1199 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=840191, Min=693248, Avg=759040, 90=830975, 99=840191, 99.9=840191, 99.99=840191] 
2019-05-22 05:06:52:981 930 sec: 1212 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=864255, Min=718336, Avg=778299.08, 90=843263, 99=864255, 99.9=864255, 99.99=864255] 
2019-05-22 05:07:02:982 940 sec: 1225 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=864255, Min=683008, Avg=768177.23, 90=830975, 99=864255, 99.9=864255, 99.99=864255] 
2019-05-22 05:07:12:981 950 sec: 1238 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=891391, Min=717312, Avg=772785.23, 90=832511, 99=891391, 99.9=891391, 99.99=891391] 
2019-05-22 05:07:22:981 960 sec: 1251 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=848895, Min=710656, Avg=761009.23, 90=848383, 99=848895, 99.9=848895, 99.99=848895] 
2019-05-22 05:07:32:983 970 sec: 1264 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=864255, Min=738816, Avg=784640, 90=824319, 99=864255, 99.9=864255, 99.99=864255] 
2019-05-22 05:07:42:982 980 sec: 1277 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=848895, Min=724992, Avg=758567.38, 90=800767, 99=848895, 99.9=848895, 99.99=848895] 
2019-05-22 05:07:52:982 990 sec: 1290 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=856063, Min=714240, Avg=764120.62, 90=826879, 99=856063, 99.9=856063, 99.99=856063] 
2019-05-22 05:08:02:982 1000 sec: 1303 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=860159, Min=668672, Avg=765302.15, 90=835583, 99=860159, 99.9=860159, 99.99=860159] 
2019-05-22 05:08:12:982 1010 sec: 1316 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=902655, Min=712192, Avg=777511.38, 90=851967, 99=902655, 99.9=902655, 99.99=902655] 
2019-05-22 05:08:22:982 1020 sec: 1329 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=848383, Min=699392, Avg=747303.38, 90=801791, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-22 05:08:32:983 1030 sec: 1343 operations; 1.4 current ops/sec; est completion in 2 minutes [READ: Count=14, Max=848895, Min=701952, Avg=759478.86, 90=827391, 99=848895, 99.9=848895, 99.99=848895] 
2019-05-22 05:08:42:982 1040 sec: 1355 operations; 1.2 current ops/sec; est completion in 1 minute [READ: Count=12, Max=859135, Min=724992, Avg=770517.33, 90=808447, 99=859135, 99.9=859135, 99.99=859135] 
2019-05-22 05:08:52:981 1050 sec: 1369 operations; 1.4 current ops/sec; est completion in 1 minute [READ: Count=14, Max=847871, Min=700928, Avg=770523.43, 90=845823, 99=847871, 99.9=847871, 99.99=847871] 
