2019-05-21 03:41:47:468 720 sec: 932 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=885247, Min=715776, Avg=781725.54, 90=868863, 99=885247, 99.9=885247, 99.99=885247] 
2019-05-21 03:41:57:468 730 sec: 945 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=839679, Min=735744, Avg=770343.38, 90=819711, 99=839679, 99.9=839679, 99.99=839679] 
2019-05-21 03:42:07:468 740 sec: 958 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=865279, Min=699904, Avg=758724.92, 90=843263, 99=865279, 99.9=865279, 99.99=865279] 
2019-05-21 03:42:17:468 750 sec: 971 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=833535, Min=719360, Avg=763608.62, 90=820735, 99=833535, 99.9=833535, 99.99=833535] 
2019-05-21 03:42:27:468 760 sec: 985 operations; 1.4 current ops/sec; est completion in 6 minutes [READ: Count=14, Max=839167, Min=719360, Avg=766829.71, 90=827903, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-21 03:42:37:468 770 sec: 998 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=841727, Min=712192, Avg=766680.62, 90=837631, 99=841727, 99.9=841727, 99.99=841727] 
2019-05-21 03:42:47:472 780 sec: 1011 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=855551, Min=715264, Avg=769122.46, 90=817151, 99=855551, 99.9=855551, 99.99=855551] 
2019-05-21 03:42:57:468 790 sec: 1023 operations; 1.2 current ops/sec; est completion in 6 minutes [READ: Count=12, Max=855551, Min=709120, Avg=772778.67, 90=834559, 99=855551, 99.9=855551, 99.99=855551] 
2019-05-21 03:43:07:468 800 sec: 1037 operations; 1.4 current ops/sec; est completion in 5 minutes [READ: Count=14, Max=863231, Min=695808, Avg=763757.71, 90=833023, 99=863231, 99.9=863231, 99.99=863231] 
2019-05-21 03:43:17:468 810 sec: 1050 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=844799, Min=718848, Avg=764081.23, 90=825343, 99=844799, 99.9=844799, 99.99=844799] 
2019-05-21 03:43:27:468 820 sec: 1063 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=857087, Min=714752, Avg=771209.85, 90=830975, 99=857087, 99.9=857087, 99.99=857087] 
2019-05-21 03:43:37:468 830 sec: 1076 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=846847, Min=706048, Avg=764987.08, 90=841215, 99=846847, 99.9=846847, 99.99=846847] 
2019-05-21 03:43:47:467 840 sec: 1089 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=854527, Min=707584, Avg=770225.23, 90=828927, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-21 03:43:57:468 850 sec: 1102 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=884735, Min=704000, Avg=761127.38, 90=856575, 99=884735, 99.9=884735, 99.99=884735] 
2019-05-21 03:44:07:468 860 sec: 1115 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=844799, Min=716288, Avg=772667.08, 90=842239, 99=844799, 99.9=844799, 99.99=844799] 
2019-05-21 03:44:17:468 870 sec: 1128 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=842239, Min=707072, Avg=774872.62, 90=837631, 99=842239, 99.9=842239, 99.99=842239] 
2019-05-21 03:44:27:467 880 sec: 1141 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=827903, Min=720896, Avg=767744, 90=826879, 99=827903, 99.9=827903, 99.99=827903] 
2019-05-21 03:44:37:468 890 sec: 1154 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=826879, Min=681984, Avg=762742.15, 90=818687, 99=826879, 99.9=826879, 99.99=826879] 
2019-05-21 03:44:47:468 900 sec: 1167 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=839167, Min=689664, Avg=756637.54, 90=809471, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-21 03:44:57:468 910 sec: 1180 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=830975, Min=717312, Avg=765774.77, 90=825343, 99=830975, 99.9=830975, 99.99=830975] 
2019-05-21 03:45:07:469 920 sec: 1193 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=847871, Min=714240, Avg=766168.62, 90=827903, 99=847871, 99.9=847871, 99.99=847871] 
2019-05-21 03:45:17:467 930 sec: 1206 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=846335, Min=710144, Avg=770855.38, 90=826367, 99=846335, 99.9=846335, 99.99=846335] 
2019-05-21 03:45:27:468 940 sec: 1219 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=859135, Min=683008, Avg=763136, 90=810495, 99=859135, 99.9=859135, 99.99=859135] 
2019-05-21 03:45:37:468 950 sec: 1232 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=836607, Min=695808, Avg=768295.38, 90=822783, 99=836607, 99.9=836607, 99.99=836607] 
