2019-05-21 07:51:17:103 390 sec: 505 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=811519, Min=715776, Avg=766956.31, 90=805375, 99=811519, 99.9=811519, 99.99=811519] 
2019-05-21 07:51:27:103 400 sec: 518 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=830975, Min=727040, Avg=772115.69, 90=826879, 99=830975, 99.9=830975, 99.99=830975] 
2019-05-21 07:51:37:104 410 sec: 531 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=822271, Min=727552, Avg=766444.31, 90=818687, 99=822271, 99.9=822271, 99.99=822271] 
2019-05-21 07:51:47:104 420 sec: 543 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=849407, Min=738304, Avg=781056, 90=816127, 99=849407, 99.9=849407, 99.99=849407] 
2019-05-21 07:51:57:104 430 sec: 556 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=842751, Min=700416, Avg=782040.62, 90=837119, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-21 07:52:07:103 440 sec: 569 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=860671, Min=732672, Avg=779283.69, 90=827903, 99=860671, 99.9=860671, 99.99=860671] 
2019-05-21 07:52:17:104 450 sec: 582 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=824831, Min=686592, Avg=764356.92, 90=819711, 99=824831, 99.9=824831, 99.99=824831] 
2019-05-21 07:52:27:104 460 sec: 595 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=846847, Min=729088, Avg=781449.85, 90=841727, 99=846847, 99.9=846847, 99.99=846847] 
2019-05-21 07:52:37:104 470 sec: 608 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=860671, Min=717824, Avg=768728.62, 90=840703, 99=860671, 99.9=860671, 99.99=860671] 
2019-05-21 07:52:47:103 480 sec: 621 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=848895, Min=718848, Avg=769831.38, 90=826367, 99=848895, 99.9=848895, 99.99=848895] 
