2019-05-21 01:20:02:790 440 sec: 574 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=827391, Min=715264, Avg=758173.54, 90=808959, 99=827391, 99.9=827391, 99.99=827391] 
2019-05-21 01:20:12:790 450 sec: 587 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=829951, Min=701952, Avg=760339.69, 90=817151, 99=829951, 99.9=829951, 99.99=829951] 
2019-05-21 01:20:22:790 460 sec: 600 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=873983, Min=721920, Avg=773139.69, 90=858623, 99=873983, 99.9=873983, 99.99=873983] 
2019-05-21 01:20:32:790 470 sec: 614 operations; 1.4 current ops/sec; est completion in 11 minutes [READ: Count=14, Max=827903, Min=708096, Avg=759515.43, 90=826367, 99=827903, 99.9=827903, 99.99=827903] 
2019-05-21 01:20:42:790 480 sec: 627 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=845823, Min=684544, Avg=771682.46, 90=819711, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-21 01:20:52:790 490 sec: 640 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=830463, Min=706048, Avg=767192.62, 90=827903, 99=830463, 99.9=830463, 99.99=830463] 
2019-05-21 01:21:02:790 500 sec: 653 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=826367, Min=714752, Avg=767468.31, 90=825855, 99=826367, 99.9=826367, 99.99=826367] 
2019-05-21 01:21:12:790 510 sec: 666 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=827391, Min=690176, Avg=758409.85, 90=812543, 99=827391, 99.9=827391, 99.99=827391] 
2019-05-21 01:21:22:790 520 sec: 679 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=858111, Min=681472, Avg=770776.62, 90=856063, 99=858111, 99.9=858111, 99.99=858111] 
2019-05-21 01:21:32:790 530 sec: 692 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=845823, Min=723456, Avg=775699.69, 90=826879, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-21 01:21:42:790 540 sec: 705 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=818175, Min=694784, Avg=749351.38, 90=815103, 99=818175, 99.9=818175, 99.99=818175] 
2019-05-21 01:21:52:790 550 sec: 718 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=816127, Min=714240, Avg=761993.85, 90=811519, 99=816127, 99.9=816127, 99.99=816127] 
2019-05-21 01:22:02:790 560 sec: 731 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=795647, Min=708096, Avg=754825.85, 90=794111, 99=795647, 99.9=795647, 99.99=795647] 
2019-05-21 01:22:12:790 570 sec: 744 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=842239, Min=684544, Avg=768059.08, 90=824831, 99=842239, 99.9=842239, 99.99=842239] 
2019-05-21 01:22:22:790 580 sec: 758 operations; 1.4 current ops/sec; est completion in 9 minutes [READ: Count=14, Max=829951, Min=704512, Avg=751360, 90=808447, 99=829951, 99.9=829951, 99.99=829951] 
2019-05-21 01:22:32:791 590 sec: 771 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=877055, Min=712192, Avg=764475.08, 90=816639, 99=877055, 99.9=877055, 99.99=877055] 
2019-05-21 01:22:42:790 600 sec: 784 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=820735, Min=706048, Avg=762151.38, 90=811007, 99=820735, 99.9=820735, 99.99=820735] 
2019-05-21 01:22:52:791 610 sec: 797 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=811007, Min=725504, Avg=757504, 90=809471, 99=811007, 99.9=811007, 99.99=811007] 
2019-05-21 01:23:02:790 620 sec: 810 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=850431, Min=709120, Avg=757425.23, 90=818687, 99=850431, 99.9=850431, 99.99=850431] 
2019-05-21 01:23:12:790 630 sec: 823 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=851455, Min=718336, Avg=762978.46, 90=812543, 99=851455, 99.9=851455, 99.99=851455] 
2019-05-21 01:23:22:790 640 sec: 836 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=860671, Min=708608, Avg=774596.92, 90=856575, 99=860671, 99.9=860671, 99.99=860671] 
2019-05-21 01:23:32:790 650 sec: 849 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=837631, Min=677888, Avg=760300.31, 90=835071, 99=837631, 99.9=837631, 99.99=837631] 
2019-05-21 01:23:42:790 660 sec: 862 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=839167, Min=694272, Avg=760812.31, 90=821247, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-21 01:23:52:790 670 sec: 875 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=838143, Min=712192, Avg=775502.77, 90=835071, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-21 01:24:02:790 680 sec: 889 operations; 1.4 current ops/sec; est completion in 7 minutes [READ: Count=14, Max=828927, Min=721920, Avg=759588.57, 90=811519, 99=828927, 99.9=828927, 99.99=828927] 
2019-05-21 01:24:12:790 690 sec: 902 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=852479, Min=699904, Avg=756992, 90=825343, 99=852479, 99.9=852479, 99.99=852479] 
2019-05-21 01:24:22:790 700 sec: 915 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=863743, Min=692736, Avg=757464.62, 90=813055, 99=863743, 99.9=863743, 99.99=863743] 
2019-05-21 01:24:32:790 710 sec: 928 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=842751, Min=705536, Avg=771091.69, 90=840191, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-21 01:24:42:790 720 sec: 941 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=857087, Min=705024, Avg=758764.31, 90=806911, 99=857087, 99.9=857087, 99.99=857087] 
2019-05-21 01:24:52:790 730 sec: 954 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=825855, Min=713728, Avg=757346.46, 90=807423, 99=825855, 99.9=825855, 99.99=825855] 
2019-05-21 01:25:02:790 740 sec: 967 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=835583, Min=719872, Avg=757228.31, 90=805887, 99=835583, 99.9=835583, 99.99=835583] 
2019-05-21 01:25:12:790 750 sec: 981 operations; 1.4 current ops/sec; est completion in 6 minutes [READ: Count=14, Max=834047, Min=692224, Avg=761380.57, 90=823295, 99=834047, 99.9=834047, 99.99=834047] 
2019-05-21 01:25:22:791 760 sec: 994 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=826367, Min=686592, Avg=759630.77, 90=817151, 99=826367, 99.9=826367, 99.99=826367] 
2019-05-21 01:25:32:792 770 sec: 1007 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=825343, Min=724992, Avg=763963.08, 90=819711, 99=825343, 99.9=825343, 99.99=825343] 
2019-05-21 01:25:42:791 780 sec: 1020 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=866303, Min=710656, Avg=770658.46, 90=835071, 99=866303, 99.9=866303, 99.99=866303] 
2019-05-21 01:25:52:793 790 sec: 1033 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=855551, Min=712704, Avg=761403.08, 90=843263, 99=855551, 99.9=855551, 99.99=855551] 
2019-05-21 01:26:02:790 800 sec: 1046 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=839167, Min=717824, Avg=759197.54, 90=823295, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-21 01:26:12:791 810 sec: 1059 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=824831, Min=696320, Avg=765026.46, 90=818175, 99=824831, 99.9=824831, 99.99=824831] 
2019-05-21 01:26:22:793 820 sec: 1072 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=831999, Min=722432, Avg=766995.69, 90=819711, 99=831999, 99.9=831999, 99.99=831999] 
2019-05-21 01:26:32:790 830 sec: 1085 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=840703, Min=722944, Avg=759512.62, 90=834047, 99=840703, 99.9=840703, 99.99=840703] 
