2019-05-20 23:48:44:928 410 sec: 534 operations; 1.4 current ops/sec; est completion in 12 minutes [READ: Count=14, Max=837119, Min=715264, Avg=759478.86, 90=829439, 99=837119, 99.9=837119, 99.99=837119] 
2019-05-20 23:48:54:928 420 sec: 547 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=864255, Min=704000, Avg=769988.92, 90=845311, 99=864255, 99.9=864255, 99.99=864255] 
2019-05-20 23:49:04:928 430 sec: 559 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=875007, Min=716288, Avg=770133.33, 90=835583, 99=875007, 99.9=875007, 99.99=875007] 
2019-05-20 23:49:14:927 440 sec: 572 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=880639, Min=705024, Avg=774084.92, 90=834559, 99=880639, 99.9=880639, 99.99=880639] 
2019-05-20 23:49:24:927 450 sec: 586 operations; 1.4 current ops/sec; est completion in 11 minutes [READ: Count=14, Max=817663, Min=712192, Avg=759149.71, 90=804351, 99=817663, 99.9=817663, 99.99=817663] 
2019-05-20 23:49:34:927 460 sec: 599 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=827391, Min=711168, Avg=759118.77, 90=823807, 99=827391, 99.9=827391, 99.99=827391] 
2019-05-20 23:49:44:928 470 sec: 612 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=837631, Min=726528, Avg=777472, 90=829439, 99=837631, 99.9=837631, 99.99=837631] 
2019-05-20 23:49:54:927 480 sec: 625 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=944639, Min=712704, Avg=767271.38, 90=807935, 99=944639, 99.9=944639, 99.99=944639] 
2019-05-20 23:50:04:928 490 sec: 638 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=844799, Min=719360, Avg=762978.46, 90=813055, 99=844799, 99.9=844799, 99.99=844799] 
2019-05-20 23:50:14:928 500 sec: 651 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=854527, Min=722944, Avg=765499.08, 90=805375, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-20 23:50:24:927 510 sec: 664 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=823807, Min=712192, Avg=761206.15, 90=809471, 99=823807, 99.9=823807, 99.99=823807] 
2019-05-20 23:50:34:928 520 sec: 677 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=813055, Min=705536, Avg=761403.08, 90=809471, 99=813055, 99.9=813055, 99.99=813055] 
2019-05-20 23:50:44:928 530 sec: 690 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=850431, Min=713216, Avg=763214.77, 90=821247, 99=850431, 99.9=850431, 99.99=850431] 
2019-05-20 23:50:54:928 540 sec: 703 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=850431, Min=711168, Avg=765341.54, 90=844799, 99=850431, 99.9=850431, 99.99=850431] 
2019-05-20 23:51:04:928 550 sec: 716 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=836607, Min=715776, Avg=771918.77, 90=812543, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-20 23:51:14:929 560 sec: 729 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=827903, Min=711680, Avg=764593.23, 90=820735, 99=827903, 99.9=827903, 99.99=827903] 
2019-05-20 23:51:24:928 570 sec: 742 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=846847, Min=707584, Avg=758409.85, 90=817151, 99=846847, 99.9=846847, 99.99=846847] 
2019-05-20 23:51:34:928 580 sec: 755 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=879615, Min=711680, Avg=764790.15, 90=808447, 99=879615, 99.9=879615, 99.99=879615] 
2019-05-20 23:51:44:927 590 sec: 769 operations; 1.4 current ops/sec; est completion in 9 minutes [READ: Count=14, Max=842751, Min=706560, Avg=767012.57, 90=825855, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-20 23:51:54:927 600 sec: 782 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=858111, Min=697344, Avg=764711.38, 90=826879, 99=858111, 99.9=858111, 99.99=858111] 
2019-05-20 23:52:04:928 610 sec: 795 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=843775, Min=694784, Avg=766286.77, 90=828415, 99=843775, 99.9=843775, 99.99=843775] 
2019-05-20 23:52:14:928 620 sec: 808 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=827903, Min=709632, Avg=763923.69, 90=818687, 99=827903, 99.9=827903, 99.99=827903] 
