2019-05-30 22:08:37:766 850 sec: 1039 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=866303, Min=741376, Avg=808979.69, 90=862719, 99=866303, 99.9=866303, 99.99=866303] 
2019-05-30 22:08:47:766 860 sec: 1051 operations; 1.2 current ops/sec; est completion in 6 minutes [READ: Count=12, Max=908287, Min=747008, Avg=822357.33, 90=878591, 99=908287, 99.9=908287, 99.99=908287] 
2019-05-30 22:08:57:766 870 sec: 1063 operations; 1.2 current ops/sec; est completion in 5 minutes [READ: Count=12, Max=901119, Min=734720, Avg=807552, 90=880639, 99=901119, 99.9=901119, 99.99=901119] 
2019-05-30 22:09:07:766 880 sec: 1075 operations; 1.2 current ops/sec; est completion in 5 minutes [READ: Count=12, Max=906751, Min=727552, Avg=817024, 90=886271, 99=906751, 99.9=906751, 99.99=906751] 
2019-05-30 22:09:17:766 890 sec: 1088 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=944127, Min=703488, Avg=806025.85, 90=881151, 99=944127, 99.9=944127, 99.99=944127] 
2019-05-30 22:09:27:766 900 sec: 1100 operations; 1.2 current ops/sec; est completion in 5 minutes [READ: Count=12, Max=934911, Min=732160, Avg=838741.33, 90=934399, 99=934911, 99.9=934911, 99.99=934911] 
2019-05-30 22:09:37:766 910 sec: 1112 operations; 1.2 current ops/sec; est completion in 5 minutes [READ: Count=12, Max=935935, Min=741376, Avg=828757.33, 90=914431, 99=935935, 99.9=935935, 99.99=935935] 
2019-05-30 22:09:47:766 920 sec: 1124 operations; 1.2 current ops/sec; est completion in 5 minutes [READ: Count=12, Max=963071, Min=739840, Avg=820266.67, 90=898047, 99=963071, 99.9=963071, 99.99=963071] 
2019-05-30 22:09:57:766 930 sec: 1136 operations; 1.2 current ops/sec; est completion in 4 minutes [READ: Count=12, Max=940031, Min=713728, Avg=802688, 90=851967, 99=940031, 99.9=940031, 99.99=940031] 
2019-05-30 22:10:07:766 940 sec: 1148 operations; 1.2 current ops/sec; est completion in 4 minutes [READ: Count=12, Max=921087, Min=725504, Avg=836522.67, 90=914943, 99=921087, 99.9=921087, 99.99=921087] 
