2019-05-31 17:01:59:847 430 sec: 503 operations; 1.1 current ops/sec; est completion in 7 minutes [READ: Count=11, Max=1279999, Min=742400, Avg=889227.64, 90=1074175, 99=1279999, 99.9=1279999, 99.99=1279999] 
2019-05-31 17:02:09:848 440 sec: 515 operations; 1.2 current ops/sec; est completion in 6 minutes [READ: Count=12, Max=1375231, Min=736256, Avg=860565.33, 90=946687, 99=1375231, 99.9=1375231, 99.99=1375231] 
2019-05-31 17:02:19:846 450 sec: 526 operations; 1.1 current ops/sec; est completion in 6 minutes [READ: Count=11, Max=1464319, Min=719872, Avg=891019.64, 90=951295, 99=1464319, 99.9=1464319, 99.99=1464319] 
2019-05-31 17:02:29:846 460 sec: 537 operations; 1.1 current ops/sec; est completion in 6 minutes [READ: Count=11, Max=1258495, Min=712192, Avg=882338.91, 90=1254399, 99=1258495, 99.9=1258495, 99.99=1258495] 
2019-05-31 17:02:39:846 470 sec: 550 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=867839, Min=731648, Avg=801851.08, 90=861183, 99=867839, 99.9=867839, 99.99=867839] 
2019-05-31 17:02:49:848 480 sec: 561 operations; 1.1 current ops/sec; est completion in 6 minutes [READ: Count=11, Max=1422335, Min=748032, Avg=872587.64, 90=915455, 99=1422335, 99.9=1422335, 99.99=1422335] 
2019-05-31 17:02:59:848 490 sec: 573 operations; 1.2 current ops/sec; est completion in 6 minutes [READ: Count=12, Max=1330175, Min=719872, Avg=850197.33, 90=876031, 99=1330175, 99.9=1330175, 99.99=1330175] 
2019-05-31 17:03:09:846 500 sec: 584 operations; 1.1 current ops/sec; est completion in 5 minutes [READ: Count=11, Max=1302527, Min=709120, Avg=871214.55, 90=1076223, 99=1302527, 99.9=1302527, 99.99=1302527] 
2019-05-31 17:03:19:847 510 sec: 596 operations; 1.2 current ops/sec; est completion in 5 minutes [READ: Count=12, Max=1303551, Min=729088, Avg=871637.33, 90=1145855, 99=1303551, 99.9=1303551, 99.99=1303551] 
2019-05-31 17:03:29:848 520 sec: 608 operations; 1.2 current ops/sec; est completion in 5 minutes [READ: Count=12, Max=1372159, Min=730112, Avg=852202.67, 90=867839, 99=1372159, 99.9=1372159, 99.99=1372159] 
2019-05-31 17:03:39:846 530 sec: 620 operations; 1.2 current ops/sec; est completion in 5 minutes [READ: Count=12, Max=1031167, Min=707072, Avg=805674.67, 90=929279, 99=1031167, 99.9=1031167, 99.99=1031167] 
2019-05-31 17:03:49:848 540 sec: 632 operations; 1.2 current ops/sec; est completion in 5 minutes [READ: Count=12, Max=1377279, Min=701952, Avg=834197.33, 90=887807, 99=1377279, 99.9=1377279, 99.99=1377279] 
2019-05-31 17:03:59:846 550 sec: 643 operations; 1.1 current ops/sec; est completion in 5 minutes [READ: Count=11, Max=1359871, Min=733184, Avg=884829.09, 90=1029631, 99=1359871, 99.9=1359871, 99.99=1359871] 
2019-05-31 17:04:09:846 560 sec: 655 operations; 1.2 current ops/sec; est completion in 4 minutes [READ: Count=12, Max=1294335, Min=742912, Avg=880469.33, 90=1094655, 99=1294335, 99.9=1294335, 99.99=1294335] 
2019-05-31 17:04:19:848 570 sec: 666 operations; 1.1 current ops/sec; est completion in 4 minutes [READ: Count=11, Max=1451007, Min=761856, Avg=878685.09, 90=882687, 99=1451007, 99.9=1451007, 99.99=1451007] 
2019-05-31 17:04:29:846 580 sec: 678 operations; 1.2 current ops/sec; est completion in 4 minutes [READ: Count=12, Max=1191935, Min=725504, Avg=829930.67, 90=957439, 99=1191935, 99.9=1191935, 99.99=1191935] 
2019-05-31 17:04:39:848 590 sec: 690 operations; 1.2 current ops/sec; est completion in 4 minutes [READ: Count=12, Max=1003519, Min=726016, Avg=835754.67, 90=1000447, 99=1003519, 99.9=1003519, 99.99=1003519] 
2019-05-31 17:04:49:846 600 sec: 702 operations; 1.2 current ops/sec; est completion in 4 minutes [READ: Count=12, Max=1296383, Min=721920, Avg=837482.67, 90=872447, 99=1296383, 99.9=1296383, 99.99=1296383] 
2019-05-31 17:04:59:846 610 sec: 714 operations; 1.2 current ops/sec; est completion in 4 minutes [READ: Count=12, Max=1277951, Min=709632, Avg=857152, 90=984063, 99=1277951, 99.9=1277951, 99.99=1277951] 
2019-05-31 17:05:09:847 620 sec: 725 operations; 1.1 current ops/sec; est completion in 3 minutes [READ: Count=11, Max=1383423, Min=727040, Avg=874728.73, 90=939519, 99=1383423, 99.9=1383423, 99.99=1383423] 
2019-05-31 17:05:19:848 630 sec: 737 operations; 1.2 current ops/sec; est completion in 3 minutes [READ: Count=12, Max=1316863, Min=719360, Avg=863552, 90=899583, 99=1316863, 99.9=1316863, 99.99=1316863] 
2019-05-31 17:05:29:846 640 sec: 748 operations; 1.1 current ops/sec; est completion in 3 minutes [READ: Count=11, Max=1315839, Min=748544, Avg=863418.18, 90=899583, 99=1315839, 99.9=1315839, 99.99=1315839] 
2019-05-31 17:05:39:846 650 sec: 761 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=861695, Min=749568, Avg=798148.92, 90=841727, 99=861695, 99.9=861695, 99.99=861695] 
2019-05-31 17:05:49:848 660 sec: 772 operations; 1.1 current ops/sec; est completion in 3 minutes [READ: Count=11, Max=1284095, Min=753152, Avg=872913.45, 90=965631, 99=1284095, 99.9=1284095, 99.99=1284095] 
2019-05-31 17:05:59:846 670 sec: 784 operations; 1.2 current ops/sec; est completion in 3 minutes [READ: Count=12, Max=1271807, Min=731648, Avg=855061.33, 90=963071, 99=1271807, 99.9=1271807, 99.99=1271807] 
2019-05-31 17:06:09:846 680 sec: 795 operations; 1.1 current ops/sec; est completion in 2 minutes [READ: Count=11, Max=1153023, Min=741888, Avg=870842.18, 90=1069055, 99=1153023, 99.9=1153023, 99.99=1153023] 
2019-05-31 17:06:19:847 690 sec: 807 operations; 1.2 current ops/sec; est completion in 2 minutes [READ: Count=12, Max=1348607, Min=759808, Avg=839061.33, 90=851967, 99=1348607, 99.9=1348607, 99.99=1348607] 
2019-05-31 17:06:29:846 700 sec: 819 operations; 1.2 current ops/sec; est completion in 2 minutes [READ: Count=12, Max=1282047, Min=740352, Avg=862869.33, 90=908287, 99=1282047, 99.9=1282047, 99.99=1282047] 
2019-05-31 17:06:39:846 710 sec: 831 operations; 1.2 current ops/sec; est completion in 2 minutes [READ: Count=12, Max=1046527, Min=727552, Avg=845013.33, 90=974335, 99=1046527, 99.9=1046527, 99.99=1046527] 
2019-05-31 17:06:49:848 720 sec: 842 operations; 1.1 current ops/sec; est completion in 2 minutes [READ: Count=11, Max=1339391, Min=746496, Avg=864814.55, 90=903679, 99=1339391, 99.9=1339391, 99.99=1339391] 
2019-05-31 17:06:59:846 730 sec: 854 operations; 1.2 current ops/sec; est completion in 2 minutes [READ: Count=12, Max=1299455, Min=748032, Avg=859072, 90=892415, 99=1299455, 99.9=1299455, 99.99=1299455] 
2019-05-31 17:07:09:849 740 sec: 865 operations; 1.1 current ops/sec; est completion in 1 minute [READ: Count=11, Max=1363967, Min=727552, Avg=906519.27, 90=1023487, 99=1363967, 99.9=1363967, 99.99=1363967] 
2019-05-31 17:07:19:846 750 sec: 876 operations; 1.1 current ops/sec; est completion in 1 minute [READ: Count=11, Max=1274879, Min=689664, Avg=875217.45, 90=1080319, 99=1274879, 99.9=1274879, 99.99=1274879] 
2019-05-31 17:07:29:846 760 sec: 888 operations; 1.2 current ops/sec; est completion in 1 minute [READ: Count=12, Max=1255423, Min=755200, Avg=858901.33, 90=957439, 99=1255423, 99.9=1255423, 99.99=1255423] 
2019-05-31 17:07:39:846 770 sec: 899 operations; 1.1 current ops/sec; est completion in 1 minute [READ: Count=11, Max=1323007, Min=747008, Avg=872401.45, 90=914431, 99=1323007, 99.9=1323007, 99.99=1323007] 
2019-05-31 17:07:49:848 780 sec: 911 operations; 1.2 current ops/sec; est completion in 1 minute [READ: Count=12, Max=951807, Min=752640, Avg=825856, 90=948735, 99=951807, 99.9=951807, 99.99=951807] 
2019-05-31 17:07:59:846 790 sec: 923 operations; 1.2 current ops/sec; est completion in 1 minute [READ: Count=12, Max=1285119, Min=737280, Avg=842602.67, 90=883711, 99=1285119, 99.9=1285119, 99.99=1285119] 
2019-05-31 17:08:09:849 800 sec: 935 operations; 1.2 current ops/sec; est completion in 56 seconds [READ: Count=12, Max=1284095, Min=753664, Avg=860266.67, 90=926207, 99=1284095, 99.9=1284095, 99.99=1284095] 
2019-05-31 17:08:19:846 810 sec: 947 operations; 1.2 current ops/sec; est completion in 46 seconds [READ: Count=12, Max=1229823, Min=734208, Avg=868053.33, 90=1080319, 99=1229823, 99.9=1229823, 99.99=1229823] 
2019-05-31 17:08:29:846 820 sec: 958 operations; 1.1 current ops/sec; est completion in 36 seconds [READ: Count=11, Max=1394687, Min=738816, Avg=877754.18, 90=921087, 99=1394687, 99.9=1394687, 99.99=1394687] 
2019-05-31 17:08:39:848 830 sec: 970 operations; 1.2 current ops/sec; est completion in 26 seconds [READ: Count=12, Max=1323007, Min=714752, Avg=844949.33, 90=922623, 99=1323007, 99.9=1323007, 99.99=1323007] 
2019-05-31 17:08:49:846 840 sec: 982 operations; 1.2 current ops/sec; est completion in 16 seconds [READ: Count=12, Max=1249279, Min=701952, Avg=842389.33, 90=893439, 99=1249279, 99.9=1249279, 99.99=1249279] 
2019-05-31 17:08:59:848 850 sec: 993 operations; 1.1 current ops/sec; est completion in 6 second [READ: Count=11, Max=1274879, Min=774144, Avg=860299.64, 90=877567, 99=1274879, 99.9=1274879, 99.99=1274879] 
2019-05-31 17:09:04:983 855 sec: 1000 operations; 1.36 current ops/sec; [READ: Count=7, Max=915967, Min=763392, Avg=823478.86, 90=884223, 99=915967, 99.9=915967, 99.99=915967] [CLEANUP: Count=1, Max=4, Min=4, Avg=4, 90=4, 99=4, 99.9=4, 99.99=4] 
