2019-05-18 00:51:10:337 380 sec: 480 operations; 1.3 current ops/sec; est completion in 59 minutes [READ: Count=13, Max=865279, Min=750592, Avg=792477.54, 90=838143, 99=865279, 99.9=865279, 99.99=865279] 
2019-05-18 00:51:20:335 390 sec: 492 operations; 1.2 current ops/sec; est completion in 59 minutes [READ: Count=12, Max=838655, Min=742400, Avg=795733.33, 90=834047, 99=838655, 99.9=838655, 99.99=838655] 
2019-05-18 00:51:30:335 400 sec: 505 operations; 1.3 current ops/sec; est completion in 59 minutes [READ: Count=13, Max=873471, Min=739840, Avg=793974.15, 90=872959, 99=873471, 99.9=873471, 99.99=873471] 
2019-05-18 00:51:40:336 410 sec: 519 operations; 1.4 current ops/sec; est completion in 59 minutes [READ: Count=12, Max=852479, Min=755200, Avg=796160, 90=839167, 99=852479, 99.9=852479, 99.99=852479] [READ-FAILED: Count=2, Max=8359, Min=5996, Avg=7177, 90=8359, 99=8359, 99.9=8359, 99.99=8359] 
2019-05-18 00:51:50:336 420 sec: 532 operations; 1.3 current ops/sec; est completion in 58 minutes [READ: Count=13, Max=880127, Min=725504, Avg=789641.85, 90=870399, 99=880127, 99.9=880127, 99.99=880127] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:52:00:336 430 sec: 544 operations; 1.2 current ops/sec; est completion in 58 minutes [READ: Count=12, Max=930303, Min=734720, Avg=795648, 90=865791, 99=930303, 99.9=930303, 99.99=930303] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:52:10:335 440 sec: 557 operations; 1.3 current ops/sec; est completion in 58 minutes [READ: Count=13, Max=870399, Min=756224, Avg=795470.77, 90=840703, 99=870399, 99.9=870399, 99.99=870399] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:52:20:335 450 sec: 569 operations; 1.2 current ops/sec; est completion in 58 minutes [READ: Count=12, Max=877055, Min=746496, Avg=803498.67, 90=865279, 99=877055, 99.9=877055, 99.99=877055] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:52:30:335 460 sec: 582 operations; 1.3 current ops/sec; est completion in 58 minutes [READ: Count=13, Max=868863, Min=749568, Avg=794564.92, 90=857087, 99=868863, 99.9=868863, 99.99=868863] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:52:40:336 470 sec: 595 operations; 1.3 current ops/sec; est completion in 58 minutes [READ: Count=13, Max=932863, Min=745984, Avg=801299.69, 90=869887, 99=932863, 99.9=932863, 99.99=932863] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
