2019-05-22 08:40:56:799 360 sec: 466 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=829951, Min=713216, Avg=756401.23, 90=819711, 99=829951, 99.9=829951, 99.99=829951] 
2019-05-22 08:41:06:799 370 sec: 479 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=832511, Min=681472, Avg=753998.77, 90=829951, 99=832511, 99.9=832511, 99.99=832511] 
2019-05-22 08:41:16:799 380 sec: 492 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=850943, Min=704000, Avg=771524.92, 90=833535, 99=850943, 99.9=850943, 99.99=850943] 
2019-05-22 08:41:26:799 390 sec: 505 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=870911, Min=722944, Avg=775896.62, 90=833023, 99=870911, 99.9=870911, 99.99=870911] 
2019-05-22 08:41:36:799 400 sec: 518 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=857087, Min=696320, Avg=764790.15, 90=848895, 99=857087, 99.9=857087, 99.99=857087] 
2019-05-22 08:41:46:799 410 sec: 531 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=872447, Min=712192, Avg=775069.54, 90=843775, 99=872447, 99.9=872447, 99.99=872447] 
2019-05-22 08:41:56:799 420 sec: 544 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=827391, Min=713728, Avg=762230.15, 90=804863, 99=827391, 99.9=827391, 99.99=827391] 
2019-05-22 08:42:06:799 430 sec: 557 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=818175, Min=720896, Avg=764750.77, 90=808959, 99=818175, 99.9=818175, 99.99=818175] 
2019-05-22 08:42:16:799 440 sec: 570 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=860671, Min=720384, Avg=763214.77, 90=822271, 99=860671, 99.9=860671, 99.99=860671] 
2019-05-22 08:42:26:800 450 sec: 583 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=840703, Min=665088, Avg=762545.23, 90=832511, 99=840703, 99.9=840703, 99.99=840703] 
2019-05-22 08:42:36:799 460 sec: 596 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=837631, Min=717824, Avg=772942.77, 90=836607, 99=837631, 99.9=837631, 99.99=837631] 
2019-05-22 08:42:46:799 470 sec: 609 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=822271, Min=708096, Avg=764947.69, 90=819711, 99=822271, 99.9=822271, 99.99=822271] 
2019-05-22 08:42:56:799 480 sec: 622 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=845311, Min=707584, Avg=761796.92, 90=834047, 99=845311, 99.9=845311, 99.99=845311] 
2019-05-22 08:43:06:800 490 sec: 636 operations; 1.4 current ops/sec; est completion in 11 minutes [READ: Count=14, Max=852479, Min=695808, Avg=761417.14, 90=818175, 99=852479, 99.9=852479, 99.99=852479] 
2019-05-22 08:43:16:799 500 sec: 649 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=885759, Min=712704, Avg=768177.23, 90=830463, 99=885759, 99.9=885759, 99.99=885759] 
2019-05-22 08:43:26:799 510 sec: 662 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=829439, Min=705536, Avg=764199.38, 90=825343, 99=829439, 99.9=829439, 99.99=829439] 
2019-05-22 08:43:36:799 520 sec: 675 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=841727, Min=688128, Avg=756952.62, 90=819711, 99=841727, 99.9=841727, 99.99=841727] 
2019-05-22 08:43:46:799 530 sec: 688 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=860159, Min=715776, Avg=776487.38, 90=834559, 99=860159, 99.9=860159, 99.99=860159] 
2019-05-22 08:43:56:799 540 sec: 701 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=846335, Min=718848, Avg=760221.54, 90=824319, 99=846335, 99.9=846335, 99.99=846335] 
2019-05-22 08:44:06:800 550 sec: 714 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=830975, Min=697344, Avg=773966.77, 90=828927, 99=830975, 99.9=830975, 99.99=830975] 
2019-05-22 08:44:16:800 560 sec: 727 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=812031, Min=706048, Avg=760300.31, 90=808959, 99=812031, 99.9=812031, 99.99=812031] 
2019-05-22 08:44:26:799 570 sec: 740 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=889343, Min=717312, Avg=777235.69, 90=816639, 99=889343, 99.9=889343, 99.99=889343] 
2019-05-22 08:44:36:799 580 sec: 753 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=861695, Min=707072, Avg=773848.62, 90=836095, 99=861695, 99.9=861695, 99.99=861695] 
2019-05-22 08:44:46:800 590 sec: 766 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=878591, Min=708096, Avg=769280, 90=838143, 99=878591, 99.9=878591, 99.99=878591] 
2019-05-22 08:44:56:799 600 sec: 779 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=857599, Min=712192, Avg=771603.69, 90=857087, 99=857599, 99.9=857599, 99.99=857599] 
2019-05-22 08:45:06:799 610 sec: 792 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=842239, Min=710144, Avg=774715.08, 90=821247, 99=842239, 99.9=842239, 99.99=842239] 
2019-05-22 08:45:16:799 620 sec: 805 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=841215, Min=711680, Avg=766365.54, 90=829951, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-22 08:45:26:799 630 sec: 817 operations; 1.2 current ops/sec; est completion in 8 minutes [READ: Count=12, Max=925183, Min=716800, Avg=785706.67, 90=839167, 99=925183, 99.9=925183, 99.99=925183] 
2019-05-22 08:45:36:800 640 sec: 830 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=851455, Min=702976, Avg=763490.46, 90=807935, 99=851455, 99.9=851455, 99.99=851455] 
2019-05-22 08:45:46:799 650 sec: 843 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=836607, Min=705024, Avg=771249.23, 90=807423, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-22 08:45:56:799 660 sec: 856 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=823807, Min=667648, Avg=770225.23, 90=818687, 99=823807, 99.9=823807, 99.99=823807] 
2019-05-22 08:46:06:799 670 sec: 870 operations; 1.4 current ops/sec; est completion in 8 minutes [READ: Count=14, Max=826367, Min=716288, Avg=759515.43, 90=809471, 99=826367, 99.9=826367, 99.99=826367] 
2019-05-22 08:46:16:799 680 sec: 883 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=815103, Min=709632, Avg=771209.85, 90=812543, 99=815103, 99.9=815103, 99.99=815103] 
2019-05-22 08:46:26:799 690 sec: 896 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=826367, Min=712192, Avg=771406.77, 90=812543, 99=826367, 99.9=826367, 99.99=826367] 
2019-05-22 08:46:36:800 700 sec: 908 operations; 1.2 current ops/sec; est completion in 7 minutes [READ: Count=12, Max=854527, Min=696320, Avg=777216, 90=845823, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-22 08:46:46:799 710 sec: 921 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=835071, Min=718848, Avg=773376, 90=825343, 99=835071, 99.9=835071, 99.99=835071] 
2019-05-22 08:46:56:799 720 sec: 934 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=858111, Min=713216, Avg=766956.31, 90=833535, 99=858111, 99.9=858111, 99.99=858111] 
2019-05-22 08:47:06:799 730 sec: 947 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=832511, Min=726528, Avg=772430.77, 90=831487, 99=832511, 99.9=832511, 99.99=832511] 
2019-05-22 08:47:16:802 740 sec: 960 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=802815, Min=723968, Avg=766208, 90=799743, 99=802815, 99.9=802815, 99.99=802815] 
2019-05-22 08:47:26:799 750 sec: 973 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=852991, Min=722432, Avg=780740.92, 90=816127, 99=852991, 99.9=852991, 99.99=852991] 
2019-05-22 08:47:36:799 760 sec: 986 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=837631, Min=716288, Avg=773060.92, 90=836607, 99=837631, 99.9=837631, 99.99=837631] 
2019-05-22 08:47:46:800 770 sec: 999 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=842239, Min=721408, Avg=767310.77, 90=823807, 99=842239, 99.9=842239, 99.99=842239] 
2019-05-22 08:47:56:800 780 sec: 1012 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=859647, Min=722432, Avg=777550.77, 90=839679, 99=859647, 99.9=859647, 99.99=859647] 
2019-05-22 08:48:06:801 790 sec: 1025 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=841727, Min=709120, Avg=765774.77, 90=828415, 99=841727, 99.9=841727, 99.99=841727] 
2019-05-22 08:48:16:799 800 sec: 1038 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=822271, Min=715776, Avg=763451.08, 90=819711, 99=822271, 99.9=822271, 99.99=822271] 
2019-05-22 08:48:26:799 810 sec: 1051 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=892927, Min=724480, Avg=780937.85, 90=850431, 99=892927, 99.9=892927, 99.99=892927] 
2019-05-22 08:48:36:799 820 sec: 1064 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=827903, Min=717824, Avg=766011.08, 90=816127, 99=827903, 99.9=827903, 99.99=827903] 
2019-05-22 08:48:46:799 830 sec: 1077 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=838655, Min=714752, Avg=775542.15, 90=825343, 99=838655, 99.9=838655, 99.99=838655] 
2019-05-22 08:48:56:799 840 sec: 1090 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=840703, Min=709120, Avg=764829.54, 90=839167, 99=840703, 99.9=840703, 99.99=840703] 
2019-05-22 08:49:06:799 850 sec: 1103 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=837119, Min=699392, Avg=759945.85, 90=826367, 99=837119, 99.9=837119, 99.99=837119] 
2019-05-22 08:49:16:800 860 sec: 1116 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=835071, Min=664064, Avg=753211.08, 90=806911, 99=835071, 99.9=835071, 99.99=835071] 
2019-05-22 08:49:26:799 870 sec: 1129 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=889343, Min=715776, Avg=776960, 90=858623, 99=889343, 99.9=889343, 99.99=889343] 
2019-05-22 08:49:36:799 880 sec: 1143 operations; 1.4 current ops/sec; est completion in 4 minutes [READ: Count=14, Max=803839, Min=692736, Avg=751616, 90=792063, 99=803839, 99.9=803839, 99.99=803839] 
2019-05-22 08:49:46:799 890 sec: 1156 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=842751, Min=720384, Avg=764475.08, 90=834047, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-22 08:49:56:799 900 sec: 1169 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=841727, Min=714752, Avg=772194.46, 90=821247, 99=841727, 99.9=841727, 99.99=841727] 
2019-05-22 08:50:06:801 910 sec: 1181 operations; 1.2 current ops/sec; est completion in 4 minutes [READ: Count=12, Max=855039, Min=718336, Avg=774485.33, 90=827391, 99=855039, 99.9=855039, 99.99=855039] 
2019-05-22 08:50:16:799 920 sec: 1195 operations; 1.4 current ops/sec; est completion in 3 minutes [READ: Count=14, Max=848383, Min=705024, Avg=763867.43, 90=822271, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-22 08:50:26:799 930 sec: 1208 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=825855, Min=697344, Avg=765735.38, 90=817663, 99=825855, 99.9=825855, 99.99=825855] 
